"W1","W2","W3","A","Y"
-0.67,-0.3,-0.66,0,-2.72506574938542
0.43,-0.35,-0.07,0,0.01142924211066
-0.08,0.39,-0.58,0,0.525441176683056
0.28,-0.5,0.54,1,-2.51369770262935
-0.09,0.24,-0.15,1,0.867151417239322
0.89,0.15,0.6,0,1.15105589215757
0.77,0.93,0.94,1,0.401480748300279
0.56,0.77,0.73,1,-0.594746557098665
-0.9,0.89,0.52,1,-2.45087598884197
0.28,0.67,-0.51,1,-1.66434450908797
-0.7,-0.28,0.67,1,-2.94847995048224
-0.15,0.42,-0.26,0,-1.5163864448597
-0.92,-0.73,-0.1,1,-2.05913919332351
-0.23,-0.82,-0.08,0,-1.09954118272373
0.39,0.38,-0.84,1,1.66704116489946
0.48,-0.68,-0.19,1,0.617541558075245
-0.34,-0.83,0.52,1,-0.903702825762779
-0.27,-0.31,0.41,1,-2.77797190251806
-0.93,0.42,-0.16,0,-2.10517168026894
0.82,0.9,-0.13,1,2.96904992619687
-0.59,-0.37,0.21,1,-2.10188040726938
0.8,-0.92,-0.99,0,-0.947685896690943
-0.68,0.78,0.67,1,-2.35183512308192
0.41,0.45,0.41,1,1.2316064353808
0.23,0.68,0.51,0,-0.470720246937475
0.78,0.08,-0.03,1,-0.265451236284757
0.42,0.89,-0.96,1,0.224331731152039
0.73,0.44,-0.44,0,-0.705655722963879
-0.8,-0.4,-0.97,0,-1.80613830036418
-0.01,-0.48,-0.8,0,-1.92594860116839
0.69,0.96,0.91,0,2.04529754620026
-0.05,0.29,0.59,1,0.239990082259574
0.36,-0.54,-0.74,0,-1.34144003751251
-0.75,0.84,-0.75,0,-1.55625806059476
0.18,-0.78,-0.68,0,-2.5430934690787
-0.4,0.62,0.81,0,-1.51461926209419
0.21,0.09,-0.74,1,-2.00621285396968
0.89,-0.92,-0.6,0,-1.59099319210003
0.33,0.36,-0.45,1,0.516219384012076
0.5,-0.99,-0.89,0,-1.22789754040611
0.67,0.79,-0.49,0,1.86749626528713
-0.6,0.39,-0.51,1,-1.78921873392589
-0.4,0.39,-0.5,1,-1.27294064398882
-0.78,-0.3,-0.46,1,-3.18967951825261
0.04,-0.56,-0.67,0,-1.93534007629566
0.94,0.65,-0.3,1,-0.632531312246996
0.99,0.63,0.85,1,-0.281286820063177
-0.39,-0.94,0.27,1,-2.35786133295426
-0.72,-0.62,0.66,0,-1.85582811898736
-0.09,-0.28,-0.52,1,-2.41013720799539
0.23,0.75,0.49,1,-2.43903125680195
0.64,-0.03,0.08,0,-0.433075924689333
-0.85,0.3,-0.43,1,-1.91183310813163
-0.57,0.18,-0.55,1,-1.54013495702599
0.17,0.24,-0.36,0,-0.480309523556819
0.86,-0.91,-0.69,0,0.261055818994517
0.67,-0.61,-0.36,1,2.37724146256375
0.76,-0.04,0.64,1,-0.21004331110855
-0.98,-0.48,-0.03,1,-0.738423604707008
-0.23,0.8,-0.78,1,-2.78786506398956
-0.44,0.72,-0.38,1,-1.23969878639588
-0.93,-0.17,-0.46,0,0.895991070717856
0.98,0.33,0.84,0,0.862239610196162
-0.48,-0.55,0.7,1,-1.64561658528701
-0.56,-0.38,-0.69,0,-1.46460475571097
-0.63,0.4,-0.05,1,1.1048697004359
-0.85,0.19,0.15,1,-1.84383125086266
0.59,0.77,-0.14,1,1.10371247810878
0.35,0.86,0.53,1,1.17305154800657
-0.86,0.73,0.45,1,-1.94564190411066
-0.53,-0.32,0.01,1,-2.34993421402406
0.49,0.7,-0.55,0,-0.280468738161428
0.86,-0.91,0.99,0,-0.164523932873933
0.02,0.61,-0.98,1,-0.448137422245542
0.72,0.46,-0.14,1,3.0869607484958
-0.81,0.37,0.56,0,-1.11039841246697
0.58,0.04,-0.85,1,-1.00701105953664
0.43,0.03,0.81,1,-0.13320046252443
-0.85,-0.53,-0.58,0,-1.53073823783215
0.99,0.06,0.46,0,0.340940885038801
0.28,-0.51,0.68,0,-0.448789957664294
0.51,0.15,-0.18,1,0.925022917520407
0.3,0.08,0.82,0,-1.28630188587669
0.2,0.92,0.56,0,0.154212829585967
-0.96,-0.04,-0.31,1,-1.45145763004297
0.54,-0.95,0.09,0,0.289608711668253
0.47,0.07,-0.87,1,0.954776642656174
-0.44,0.22,0.74,1,-0.248444724718934
0.24,-0.17,0.84,0,-0.284593770478477
0.5,0.6,0.33,1,-1.13331313189499
-0.71,0.44,0.04,1,-1.01803426605865
-0.6,-0.61,0.59,1,-0.635380009255477
-0.17,-0.65,-0.05,0,0.695964007240075
-0.47,-0.67,-0.64,0,-0.495486747636551
0.96,-0.58,-0.69,0,-0.53258344300146
-0.04,-0.98,-0.6,1,-0.749116469435946
0.57,0.93,-0.01,1,-0.74338733509892
0.09,-0.32,0.49,0,0.455203626952291
-0.8,0.73,0.34,0,0.139916753376122
0.09,-0.88,-0.08,0,1.24711710537568
0.07,-0.37,0.74,1,-0.672445093046426
-0.37,0.53,0.54,1,-1.29009978811508
0.92,-0.77,0.18,0,0.154993493704461
0.67,-0.35,0.05,0,-0.492477782393866
0.03,-1,0.24,1,-1.70899858712934
-0.37,0.08,-0.94,1,-0.648257046145301
-0.39,0.65,0.81,1,-2.22228162061971
0.1,-0.6,0.99,1,0.40297063994823
0.76,0.14,-0.49,1,1.68848150379064
-0.21,-0.02,-0.43,0,-0.901105116871134
-0.36,0.29,-0.51,0,-1.06393461871625
-0.72,0.04,-0.95,1,-2.24537986444091
-0.18,0.14,-0.41,1,-1.16225398862294
-0.45,0.95,0.94,1,0.122257208280111
0.61,-0.06,0.1,1,0.0692379733913461
-0.02,0.22,-0.85,0,0.166140617306835
0.92,0.72,0.17,1,-0.935575102072916
0.65,0.97,-0.51,0,0.651026413766175
-0.59,0.34,0.1,1,0.332494232449694
0.62,0.88,0.29,1,0.246176517622785
-0.18,0.55,0.87,1,-0.734409162930971
-0.18,-0.6,-0.2,0,-1.82190664669988
-0.06,0,0,0,1.49816198776349
-0.12,-0.68,0.67,1,0.836328505621851
0.63,0.56,0.34,0,2.33620830237829
-0.62,-0.79,-0.62,0,-1.62094035890801
0.88,0.27,0.26,0,-0.0384092989663658
-0.69,0.61,-0.42,0,-2.52428812003373
0.91,0.16,-0.03,0,-0.155099831085051
-0.46,-0.43,-0.88,0,-1.21269846750284
-0.18,0.28,0.5,1,1.51597759819444
-0.49,-0.9,-0.47,0,-1.32824986493366
0.65,0.58,0.01,0,-0.728948312841121
0.35,-0.99,0.01,0,0.0267143285250335
-0.62,-0.75,0.92,0,-2.86910093484436
0.95,0.49,-0.24,1,0.794938271337413
-0.41,-0.94,-0.5,0,-1.84611832883308
-0.77,0.13,-0.96,0,-3.44124604732137
-0.77,0.45,0.45,1,-0.0659254832341473
0.94,-0.3,-0.78,0,-0.566871594878875
-0.73,-0.25,0.71,0,-1.47603664999746
0.77,0.9,-0.08,0,2.09114789252962
0.45,-0.93,-0.44,0,-0.0103255889610501
-0.98,-0.35,-0.96,1,-3.35044869136533
0.54,0.42,-0.4,0,0.643762778404674
0.36,-0.81,0.88,0,0.118271807273958
0.17,-0.48,0.52,0,1.2488564474304
0.3,-0.51,0.22,0,-0.113106596414517
-0.55,0.56,-0.08,1,-0.930851929476991
0.56,0.26,0.31,1,1.90857870345208
0.23,0.29,-0.56,1,0.413345513632318
-0.71,-0.86,0.76,1,-0.898867294114973
-0.77,0.57,0.8,1,0.0829653535566555
-0.21,0.35,-0.79,0,-1.64759247418957
-0.92,-0.94,-0.82,0,-2.01424000135895
-0.75,0.89,-0.67,0,0.356130660844982
-0.38,-0.77,-0.27,0,-1.58062108692271
0.94,0,0.79,1,0.0936171920569138
-0.32,0.68,0.19,0,-1.29278360563591
0.63,0.07,0.1,1,0.545652261918018
-0.66,-0.17,-0.96,0,-2.38035007312957
0.15,-0.22,-0.31,0,-0.813639392099399
-0.95,0.95,0.54,1,-2.01143670071684
0.35,0.53,-0.53,0,-0.227050797719434
-0.33,-0.14,0.49,0,-0.345943902119422
-0.14,-0.48,0.34,0,-0.153366871797853
0.41,-0.96,0.39,0,1.22520574370471
-0.36,0.75,0,0,-0.553693653564991
0.57,0.52,-0.6,0,-0.170839912658177
0.08,-0.8,-0.11,0,0.618005717048905
0.89,-0.57,0.74,1,2.90210868939217
-0.55,0.28,0.47,1,-0.0184687117137824
0.03,0.91,0.43,0,-0.218657319133519
0.15,0.41,0.12,1,-1.3204086225841
0.98,0.93,0.46,0,2.49426239874678
-0.39,0.36,-0.5,1,-1.12206919130107
0.35,0.84,0.89,0,-0.586762794395316
-0.04,-0.51,0.65,0,2.44376588609529
-0.12,0.22,-0.14,0,-0.316978691749329
-0.91,-0.54,-0.81,0,-1.95625861011331
-0.95,-0.51,0.92,0,-4.1612195229558
0.25,-0.38,-0.53,1,-1.25833769437059
0.98,0.02,-0.23,1,2.0123649684867
-0.99,0.51,-0.6,0,-1.0011310845489
0.84,-0.43,0.64,0,1.22932216161011
0.76,-0.82,-0.92,0,1.55773220068439
0.47,-0.52,0.36,1,1.34744174757793
0.74,-0.08,-0.58,1,-0.594490689516935
0.74,-0.81,-0.07,1,1.81795666435376
-0.59,0.18,0.77,1,-0.357589221356059
0.7,0.15,-0.35,1,0.790946205490085
0.46,0.82,-0.11,1,-3.19358570748525
0.61,0.66,-0.19,1,-0.945974777765776
-0.31,-0.32,0.72,1,-1.32601241730233
0.65,0.21,-0.68,0,2.21903253951933
0.41,0.47,-0.59,0,0.468694614280786
0.71,-0.51,0.21,0,0.63821020366732
-0.77,-0.57,0.9,0,-2.25090321013358
-0.51,0.29,0.34,1,0.113237869246896
-0.7,-0.68,-0.64,1,-3.25541048942136
-0.21,0.53,0.96,0,0.328226820569252
0.38,0.03,0.54,0,0.753768778564913
0.09,0.2,-0.55,0,-0.289486084416943
-0.71,-0.07,-0.6,1,-1.50504577602061
-0.61,0.58,-0.04,1,-1.30707264544036
-0.11,-0.36,-0.76,1,-1.08305088080795
0.97,-0.87,-0.65,0,1.68246362620766
0.97,0.07,0.95,0,1.9023628412626
-0.81,-0.05,-0.53,1,-2.1753530368735
0.13,-0.03,-0.13,0,-1.53844896479736
0.11,-0.48,-0.56,0,-0.379942177614917
-0.78,-0.03,0.76,0,-1.46723523734316
-0.57,0.42,-0.23,1,0.761246776719196
0.35,0.76,-0.3,1,-2.29010766827799
0.07,0.84,0.97,0,-0.134751788401515
0.54,0.23,-0.81,1,1.5961230745319
0.13,0.39,0.69,1,0.582687453213713
-0.57,-0.17,0.11,1,-2.88945779530808
-0.04,0.49,0.58,1,-0.382930549437401
0.51,0.85,0.07,1,0.531519105509524
-1,-0.4,-0.58,1,-2.06661327201693
-0.06,0.91,0.62,1,0.175385836841409
-0.99,0.53,0.94,0,1.33048352044748
0.32,-0.85,-0.62,1,1.35151456700734
0.53,-0.22,0.96,1,-0.221577522414902
-0.4,0.49,0.98,0,-1.02077009382131
-0.63,-0.4,-0.6,1,0.506354878425143
-0.94,0.31,-0.26,1,-0.225808013673421
0.08,0.05,0.16,1,-0.68230334976106
-0.11,-0.28,0.22,0,-0.497507916919029
0.58,-0.35,0.2,0,-0.359393300483657
0.6,-0.55,0.58,1,0.333312776149141
-0.13,0.97,-0.97,1,-1.62188465517559
-0.74,0.71,-0.97,0,-1.05915465501392
-0.53,0.33,0.62,1,0.25146691869198
0.01,0.22,0.05,0,-1.44254212275943
-0.18,-0.53,-0.6,1,-4.26077081833741
-0.27,0.74,-0.95,1,-2.07290138108281
0.89,-0.27,0.59,1,-0.085596870992998
0.2,-0.61,0.55,0,0.154273774110513
0.88,0.87,0.38,0,0.988135168178797
-0.08,0.14,0.34,1,0.735912137512835
0.95,-0.69,0.32,0,-0.896772174570421
-0.4,-0.72,0.04,0,-0.53682474272956
0.87,-0.77,0.49,0,0.850888729854143
